datetime,station,pm25,pm10,temp,rh,rain,no2,co,o3,so2,wind_speed,wind_dir,sensor_frozen,year,month,day,hour,weekday,is_weekend,season,hour_sin,hour_cos,month_sin,month_cos,is_dry_season,pm25_roll3h,pm25_roll6h,pm25_roll24h,pm25_lag1h,pm25_lag3h,pm25_delta1h,rain_acc6h
2025-01-01 00:00:00,CRAS Fercal,18.03562,31.47445,5.0,0.0,0.0,0.7738842,0.8139545,6.386184,2.295806,30.0,238.0,0,2025,1,1,0,2,0,chuva,0.0,1.0,0.49999999999999994,0.8660254037844387,0,18.036,18.036,18.036,,,,0.0
2025-01-01 01:00:00,CRAS Fercal,4.68,12.27,5.0,0.0,0.0,1.15,0.7,6.33,1.984,30.0,238.0,0,2025,1,1,1,2,0,chuva,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,11.358,11.358,11.358,18.03562,,-13.356,0.0
2025-01-01 02:00:00,CRAS Fercal,3.66,15.07,5.0,0.0,0.0,0.95,0.701,5.67,2.057,30.0,238.0,0,2025,1,1,2,2,0,chuva,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,8.792,8.792,8.792,4.68,,-1.02,0.0
2025-01-01 03:00:00,CRAS Fercal,0.85,11.93,5.0,0.0,0.0,0.51,0.62,5.73,2.101,30.0,238.0,0,2025,1,1,3,2,0,chuva,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,3.063,6.806,6.806,3.66,18.03562,-2.81,0.0
2025-01-01 04:00:00,CRAS Fercal,2.24,15.23,5.0,0.0,0.0,0.57,0.536,6.58,2.083,30.0,238.0,0,2025,1,1,4,2,0,chuva,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,2.25,5.893,5.893,0.85,4.68,1.39,0.0
2025-01-01 05:00:00,CRAS Fercal,5.2,18.54,5.0,0.0,0.0,2.42,0.566,5.81,1.847,30.0,238.0,0,2025,1,1,5,2,0,chuva,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,2.763,5.778,5.778,2.24,3.66,2.96,0.0
2025-01-01 06:00:00,CRAS Fercal,4.19,17.68,5.0,0.0,0.0,3.0,0.508,5.41,1.778,30.0,238.0,0,2025,1,1,6,2,0,chuva,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,3.877,3.47,5.551,5.2,0.85,-1.01,0.0
2025-01-01 07:00:00,CRAS Fercal,5.73,25.2,5.0,0.0,0.0,1.64,0.427,5.7,2.141,30.0,238.0,0,2025,1,1,7,2,0,chuva,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,5.04,3.645,5.573,4.19,2.24,1.54,0.0
2025-01-01 08:00:00,CRAS Fercal,16.99,54.97,5.0,0.0,0.0,1.11,0.414,15.11,2.079,30.0,238.0,0,2025,1,1,8,2,0,chuva,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,8.97,5.867,6.842,5.73,5.2,11.26,0.0
2025-01-01 09:00:00,CRAS Fercal,3.96,9.53,5.0,0.0,0.0,1.3,0.283,22.67,2.141,30.0,238.0,0,2025,1,1,9,2,0,chuva,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0,8.893,6.385,6.554,16.99,4.19,-13.03,0.0
2025-01-01 10:00:00,CRAS Fercal,3.93,6.3,5.0,0.0,0.0,14.84,0.161,28.73,2.157,30.0,238.0,0,2025,1,1,10,2,0,chuva,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0,8.293,6.667,6.315,3.96,5.73,-0.03,0.0
2025-01-01 11:00:00,CRAS Fercal,3.93,6.3,5.0,0.0,0.0,22.06,0.15,20.91,7.434,30.0,238.0,0,2025,1,1,11,2,0,chuva,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0,3.94,6.455,6.116,3.93,16.99,0.0,0.0
2025-01-01 12:00:00,CRAS Fercal,0.0,7.8,5.0,0.0,0.0,7.51,0.15,28.73,5.424,30.0,238.0,0,2025,1,1,12,2,0,chuva,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0,2.62,5.757,5.646,3.93,3.96,-3.93,0.0
2025-01-01 13:00:00,CRAS Fercal,0.0,0.0,5.0,0.0,0.0,0.77,0.13,34.68,3.008,30.0,238.0,0,2025,1,1,13,2,0,chuva,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0,1.31,4.802,5.243,0.0,3.93,0.0,0.0
2025-01-01 14:00:00,CRAS Fercal,0.0,0.0,5.0,0.0,0.0,13.49,0.132,30.09,7.406,30.0,238.0,0,2025,1,1,14,2,0,chuva,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0,0.0,1.97,4.893,0.0,3.93,0.0,0.0
2025-01-01 15:00:00,CRAS Fercal,0.0,0.0,5.0,0.0,0.0,6.18,0.255,30.02,4.765,30.0,238.0,0,2025,1,1,15,2,0,chuva,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0,0.0,1.31,4.587,0.0,0.0,0.0,0.0
2025-01-01 16:00:00,CRAS Fercal,19.24,46.14,5.0,0.0,0.0,0.58,0.148,34.03,2.985,30.0,238.0,0,2025,1,1,16,2,0,chuva,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0,6.413,3.862,5.449,0.0,0.0,19.24,0.0
2025-01-01 17:00:00,CRAS Fercal,19.24,46.14,5.0,0.0,0.0,2.53,0.15,37.75,2.419,30.0,238.0,0,2025,1,1,17,2,0,chuva,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,12.827,6.413,6.215,19.24,0.0,0.0,0.0
2025-01-01 18:00:00,CRAS Fercal,3.58,10.76,5.0,0.0,0.0,6.69,0.12,31.0,2.778,30.0,238.0,0,2025,1,1,18,2,0,chuva,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,14.02,7.01,6.077,19.24,0.0,-15.66,0.0
2025-01-01 19:00:00,CRAS Fercal,5.39,12.78,5.0,0.0,0.0,2.69,0.252,28.57,2.411,30.0,238.0,0,2025,1,1,19,2,0,chuva,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0,9.403,7.908,6.042,3.58,19.24,1.81,0.0
2025-01-01 20:00:00,CRAS Fercal,0.0,1.69,5.0,0.0,0.0,7.48,0.356,23.61,1.982,30.0,238.0,0,2025,1,1,20,2,0,chuva,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,2.99,7.908,5.755,5.39,19.24,-5.39,0.0
2025-01-01 21:00:00,CRAS Fercal,4.85,11.22,5.0,0.0,0.0,9.05,0.441,16.43,1.879,30.0,238.0,0,2025,1,1,21,2,0,chuva,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0,3.413,8.717,5.713,0.0,3.58,4.85,0.0
2025-01-01 22:00:00,CRAS Fercal,4.46,13.56,5.0,0.0,0.0,5.3,0.406,13.39,1.94,30.0,238.0,0,2025,1,1,22,2,0,chuva,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0,3.103,6.253,5.659,4.85,5.39,-0.39,0.0
2025-01-01 23:00:00,CRAS Fercal,5.05,14.7,5.0,0.0,0.0,4.44,0.448,10.45,1.716,30.0,238.0,0,2025,1,1,23,2,0,chuva,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0,4.787,3.888,5.634,4.46,0.0,0.59,0.0
